exactPrice,carpetArea,bedrooms,bathrooms,balconies,totalFlrNum,luxury_score,city,propertyType,furnishing,facing,price_per_sqft
7208000,1043,3,2,4,6,0,Patna,Multistorey Apartment,Unfurnished,North,6910.834132310642
6187500,1250,3,2,3,5,0,Patna,Multistorey Apartment,Semi-Furnished,Unknown,4950.0
9500000,1521,3,2,3,4,0,Patna,Multistorey Apartment,Semi-Furnished,North,6245.890861275477
7750000,1162,3,2,3,7,0,Patna,Multistorey Apartment,Unfurnished,South - East,6669.535283993116
9300000,1580,3,2,2,4,0,Patna,Multistorey Apartment,Unfurnished,East,5886.0759493670885
11291000,966,3,2,3,5,0,Patna,Multistorey Apartment,Semi-Furnished,East,11688.40579710145
5200800,650,2,2,1,3,0,Patna,Multistorey Apartment,Semi-Furnished,South,8001.2307692307695
6900000,1300,3,2,2,4,0,Patna,Multistorey Apartment,Unfurnished,North,5307.692307692308
12636200,1258,3,3,2,8,0,Patna,Multistorey Apartment,Semi-Furnished,North - East,10044.674085850556
6395400,876,2,2,3,7,0,Patna,Multistorey Apartment,Unfurnished,North,7300.684931506849
12500000,1300,3,2,3,6,0,Patna,Multistorey Apartment,Unfurnished,East,9615.384615384615
7044000,847,2,2,1,5,0,Patna,Multistorey Apartment,Unfurnished,East,8316.410861865408
8300000,1400,3,2,2,5,0,Patna,Multistorey Apartment,Unfurnished,North,5928.571428571428
11398000,1180,3,3,2,8,0,Patna,Multistorey Apartment,Semi-Furnished,North,9659.322033898305
6000000,800,2,2,1,4,0,Patna,Multistorey Apartment,Unfurnished,East,7500.0
8500000,1410,3,2,2,7,0,Patna,Multistorey Apartment,Unfurnished,East,6028.368794326241
9212500,1205,3,2,4,5,0,Patna,Multistorey Apartment,Semi-Furnished,North - West,7645.2282157676345
7462625,954,2,2,1,10,0,Patna,Multistorey Apartment,Semi-Furnished,North,7822.458071278826
5174000,718,2,2,2,7,16,Patna,Multistorey Apartment,Unfurnished,North,7206.128133704736
12500000,1300,3,2,2,4,0,Patna,Multistorey Apartment,Unfurnished,East,9615.384615384615
6700000,950,2,2,2,4,0,Patna,Multistorey Apartment,Unfurnished,East,7052.631578947368
5148000,656,2,2,2,5,0,Patna,Multistorey Apartment,Semi-Furnished,East,7847.5609756097565
5517200,772,2,2,3,7,16,Patna,Multistorey Apartment,Unfurnished,South,7146.632124352332
7815501,1006,3,2,1,5,0,Patna,Multistorey Apartment,Unfurnished,West,7768.887673956262
17000000,1300,3,2,2,6,0,Patna,Multistorey Apartment,Furnished,Unknown,13076.923076923076
6500000,1200,3,2,2,5,0,Patna,Multistorey Apartment,Unfurnished,Unknown,5416.666666666667
6188000,862,2,2,3,7,16,Patna,Multistorey Apartment,Unfurnished,North,7178.654292343387
10147500,1245,3,3,3,5,0,Patna,Multistorey Apartment,Unfurnished,South -West,8150.6024096385545
20000000,2200,4,4,4,5,0,Patna,Multistorey Apartment,Furnished,East,9090.90909090909
12500000,1121,3,2,2,5,0,Patna,Multistorey Apartment,Semi-Furnished,West,11150.758251561107
7220000,1050,3,2,3,5,0,Patna,Multistorey Apartment,Semi-Furnished,South -West,6876.190476190476
12500000,1250,3,3,3,4,0,Patna,Multistorey Apartment,Unfurnished,East,10000.0
8500000,1350,3,2,2,6,0,Patna,Multistorey Apartment,Furnished,South - East,6296.2962962962965
9800000,850,3,2,2,5,0,Patna,Multistorey Apartment,Unfurnished,South,11529.411764705883
8036000,1067,3,2,3,11,0,Patna,Multistorey Apartment,Semi-Furnished,South - East,7531.396438612934
8075600,1128,3,2,2,7,16,Patna,Multistorey Apartment,Unfurnished,West,7159.219858156029
10000000,1030,3,2,2,6,0,Patna,Multistorey Apartment,Unfurnished,West,9708.73786407767
10500000,1500,4,3,3,6,0,Patna,Multistorey Apartment,Semi-Furnished,East,7000.0
